"n_tweetid","s_userid","s_tweettext","n_retweetvolume","n_favoritevolume","s_tweeturl","s_tweettime","r_tweetsentimentscore","r_tweetsentimentsmagnitude","n_tweetvalidstrcount"
44,"@NetflixJP","みんなで しかない！◆◆今週届いた、みんなへのメッセージとおすすめ作品◆◆モーリー・ロバートソンさん◆『』◆◆◆おかもとえみさん◆『』◆ ",6,16,"https://twitter.com/NetflixJP/status/1253893912491524096","2020-04-25 03:49:39",0.1,1.7,69
45,"@fgoproject","【カルデア広報局より】◆現在開催中の「オリュンポスピックアップ2召喚」にてピックアップ中の「★5(SSR)ロムルス＝クィリヌス」の宝具演出「我らの腕はすべてを拓き、宙へ」をご紹介いたします！ ",830,3910,"https://twitter.com/fgoproject/status/1251708606673649665","2020-04-19 03:06:02",0.2,1.2,96
46,"@fgoproject","【カルデア広報局より】◆現在開催中の「オリュンポスピックアップ召喚」にてピックアップ中の「★5(SSR)ディオスクロイ」の宝具演出「双神賛歌」をご紹介いたします！ ",570,3109,"https://twitter.com/fgoproject/status/1252795959832006656","2020-04-22 03:06:47",0.2,1.3,82
47,"@comic_natalie","アニメ「FGO」賢王ギルガメッシュ、マーリンのフレグランスが受注生産で登場◆◆◆ ",1639,2642,"https://twitter.com/comic_natalie/status/1251789152753864704","2020-04-19 08:26:05",0.7,0.7,41
48,"@dengekionline","どんな香り？ 『FGO』術ギル、マーリンをイメージしたフレグランス ",103,196,"https://twitter.com/dengekionline/status/1251782603788582912","2020-04-19 08:00:04",0.2,0.4,34
49,"@fgoproject","【カルデア広報局より】◆【予告】2000万DL突破キャンペーン開催予定！正式加入条件をクリアして対象の★5サーヴァント1騎を獲得しよう！さらに、期間内にこのツイートが10万リツイート達成で聖晶石30個プレゼント！詳しくは→ ",126467,55279,"https://twitter.com/fgoproject/status/1254002799215472644","2020-04-25 11:02:20",0.1,1.4,112
50,"@azurlane_staff","【お知らせ】◆特型艦建造にて空母「赤城ちゃん」「ツェッペリンちゃん」、◆大型艦建造にて巡洋戦艦「比叡ちゃん」が常設実装中！◆◆また、期間限定で開催中の友好度イベント「リトル・ロイヤルナイト」にて◆巡洋戦艦「リトル・レナウン」を正式加入可能！◆◆ぜひ、ご確認ください！◆ ",1556,3582,"https://twitter.com/azurlane_staff/status/1253928229590593538","2020-04-25 06:06:01",0.4,2.4,135
51,"@azurlane_staff","【イベント】◆期間限定イベント『リトル・ロイヤルナイト』、開催中！◆◆海域に出撃し友好度を稼ぎ、仮加入中の「リトル・レナウン」を正式加入させましょう！◆「リトル・レナウン」を連れて海域をクリアすると、もらえる友好度もUP！◆◆ぜひ、ご確認ください！◆ ",722,2019,"https://twitter.com/azurlane_staff/status/1253541905469669376","2020-04-24 04:30:54",0.5,2.6,126
52,"@fgoproject","【カルデア広報局より】◆現在開催中の「オリュンポスピックアップ2召喚」にてピックアップ中の「★5(SSR)ロムルス＝クィリヌス」の宝具演出「我らの腕はすべてを拓き、宙へ」をご紹介いたします！ ",830,3910,"https://twitter.com/fgoproject/status/1251708606673649665","2020-04-19 03:06:02",0.2,1.2,96
53,"@tobikan_jp","ラメセス2世像の奥には皇帝ナポレオンの肖像画。見る人を圧倒するような表現をお楽しみいただくエントランスでした。左の壁にはインドの細密画も。古今東西の表現をくらべて見られる点も、 の見どころでした。会場がまぼろしとなったため、模型でイメージをご紹介します。 ",157,583,"https://twitter.com/tobikan_jp/status/1253881501600477184","2020-04-25 03:00:20",0.4,2.4,128
